pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
888533,,bse_fo,SO,MPHASIS,MPHASIS25OCT3350PE,PE,MPHASIS30OCT253350.00PE,,526299,,,MPHASIS25OCT3350PE,,,5,275,1761848999,1,2,335000,BSE,SO,1761848999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1761782400,1761782400,,,,,Physical,,0,1,0.00,275,0,77375,36275,1,1,1,0,0,1,0,-1,1,0,11000
868769,,bse_fo,SO,BIOCON,BIOCON25NOV380CE,CE,BIOCON27NOV25380.00CE,,532523,,,BIOCON25NOV380CE,,,5,2500,1764268199,1,2,38000,BSE,SO,1764268199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1764201600,1764201600,,,,,Physical,,0,1,0.00,2500,0,3690,5,1,1,1,0,0,1,0,-1,1,0,100000
875499,,bse_fo,SO,ZYDUSLIFE,ZYDUSLIFE25NOV910PE,PE,ZYDUSLIFE27NOV25910.00PE,,532321,,,ZYDUSLIFE25NOV910PE,,,5,900,1764268199,1,2,91000,BSE,SO,1764268199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1764201600,1764201600,,,,,Physical,,0,1,0.00,900,0,960,5,1,1,1,0,0,1,0,-1,1,0,54000
854236,,bse_fo,SO,TORNTPHARM,TORNTPHARM25OCT3150CE,CE,TORNTPHARM30OCT253150.00CE,,500420,,,TORNTPHARM25OCT3150CE,,,5,250,1761848999,1,2,315000,BSE,SO,1761848999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1761782400,1761782400,,,,,Physical,,0,1,0.00,250,0,71600,32580,1,1,1,0,0,1,0,-1,1,0,15000
836267,,bse_fo,SO,RELIANCE,RELIANCE25SEP1480PE,PE,RELIANCE25SEP251480.00PE,,500325,,,RELIANCE25SEP1480PE,,,5,500,1758824999,1,2,148000,BSE,SO,1758824999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1758758400,1758758400,,,,,Physical,,0,1,0.00,500,0,16315,1625,1,1,1,0,0,1,0,-1,1,0,10000
844090,,bse_fo,SO,SAIL,SAIL25SEP150CE,CE,SAIL25SEP25150.00CE,,500113,,,SAIL25SEP150CE,,,5,4700,1758824999,1,2,15000,BSE,SO,1758824999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1758758400,1758758400,,,,,Physical,,0,1,0.00,4700,0,2010,5,1,1,1,0,0,1,0,-1,1,0,320000
852511,,bse_fo,SO,OFSS,OFSS25OCT8100CE,CE,OFSS30OCT258100.00CE,,532466,,,OFSS25OCT8100CE,,,5,75,1761848999,1,2,810000,BSE,SO,1761848999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1761782400,1761782400,,,,,Physical,,0,1,0.00,75,0,179955,43805,1,1,1,0,0,1,0,-1,1,0,8000
854820,,bse_fo,SO,BOSCHLTD,BOSCHLTD25OCT37500PE,PE,BOSCHLTD30OCT2537500.00PE,,500530,,,BOSCHLTD25OCT37500PE,,,5,25,1761848999,1,2,3.75e+06,BSE,SO,1761848999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1761782400,1761782400,,,,,Physical,,0,1,0.00,25,0,102255,5,1,1,1,0,0,1,0,-1,1,0,1500
867473,,bse_fo,SO,CGPOWER,CGPOWER25NOV670CE,CE,CGPOWER27NOV25670.00CE,,500093,,,CGPOWER25NOV670CE,,,5,850,1764268199,1,2,67000,BSE,SO,1764268199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1764201600,1764201600,,,,,Physical,,0,1,0.00,850,0,17680,6110,1,1,1,0,0,1,0,-1,1,0,100000000
866018,,bse_fo,SO,PIIND,PIIND25NOV3700CE,CE,PIIND27NOV253700.00CE,,523642,,,PIIND25NOV3700CE,,,5,175,1764268199,1,2,370000,BSE,SO,1764268199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1764201600,1764201600,,,,,Physical,,0,1,0.00,175,0,26045,1925,1,1,1,0,0,1,0,-1,1,0,7500
836726,,bse_fo,SO,RBLBANK,RBLBANK25SEP227.5PE,PE,RBLBANK25SEP25227.50PE,,540065,,,RBLBANK25SEP227.5PE,,,5,3175,1758824999,1,2,22750,BSE,SO,1758824999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1758758400,1758758400,,,,,Physical,,0,1,0.00,3175,0,295,5,1,1,1,0,0,1,0,-1,1,0,150000
873465,,bse_fo,SO,MARUTI,MARUTI25OCT15200CE,CE,MARUTI30OCT2515200.00CE,,532500,,,MARUTI25OCT15200CE,,,5,50,1761848999,1,2,1.52e+06,BSE,SO,1761848999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1761782400,1761782400,,,,,Physical,,0,1,0.00,50,0,181365,38195,1,1,1,0,0,1,0,-1,1,0,3000
850678,,bse_fo,SO,WIPRO,WIPRO25OCT267.5CE,CE,WIPRO30OCT25267.50CE,,507685,,,WIPRO25OCT267.5CE,,,5,3000,1761848999,1,2,26750,BSE,SO,1761848999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1761782400,1761782400,,,,,Physical,,0,1,0.00,3000,0,2250,5,1,1,1,0,0,1,0,-1,1,0,60000
872455,,bse_fo,SO,HINDPETRO,HINDPETRO25OCT350CE,CE,HINDPETRO30OCT25350.00CE,,500104,,,HINDPETRO25OCT350CE,,,5,2025,1761848999,1,2,35000,BSE,SO,1761848999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1761782400,1761782400,,,,,Physical,,0,1,0.00,2025,0,11165,4215,1,1,1,0,0,1,0,-1,1,0,108000
861174,,bse_fo,IO,BANKEX,BANKEX25OCT62400CE,CE,BANKEX30OCT2562400.00CE,,12,,,BANKEX25OCT62400CE,,,5,30,1761848999,1,2,6.24e+06,BSE,IO,1761848999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1761782400,1761782400,,,,,Cash,,0,1,0.00,30,0,244620,5,1,1,1,0,0,1,0,-1,1,0,900
846353,,bse_fo,IO,SENSEX,SENSEX27JUN83000PE,PE,SENSEX24JUN2783000.00PE,,1,,,SENSEX27JUN83000PE,,,5,20,1813861799,1,2,8.3e+06,BSE,IO,1813861799,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1813795200,1813795200,,,,,Cash,,0,1,0.00,20,0,341945,245835,1,1,1,0,0,1,0,-1,1,0,1000
